name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Ed Nealy,55,573,45,97,5,28,38,151,36,24,4,19,123,1991
Johnny Newman,81,2477,478,1017,30,385,476,254,188,100,17,189,1371,1991
Ken Norman,70,2309,520,1037,6,173,275,497,159,63,63,139,1219,1991
Dan O'Sullivan,21,85,7,16,0,7,11,17,4,1,1,4,21,1991
Charles Oakley,76,2739,307,595,0,239,305,920,204,62,17,215,853,1991
Alan Ogg,31,261,24,55,0,6,10,49,2,6,27,8,54,1991
Hakeem Olajuwon*,56,2062,487,959,0,213,277,770,131,121,221,174,1187,1991
Jawann Oldham,4,19,3,6,0,0,0,3,0,0,0,0,6,1991
Brian Oliver,73,800,111,272,5,52,71,80,88,34,4,50,279,1991
Gerald Paddio,70,1181,212,506,6,74,93,118,90,20,6,71,504,1991
Walter Palmer,28,85,15,45,0,10,15,21,6,3,4,6,40,1991
Robert Parish*,81,2441,485,811,0,237,309,856,66,66,103,153,1207,1991
John Paxson,82,1971,317,578,42,34,41,91,297,62,3,69,710,1991
Kenny Payne,47,444,68,189,4,26,29,66,16,10,6,21,166,1991
Gary Payton*,82,2244,259,575,1,69,97,243,528,165,15,180,588,1991
Will Perdue,74,972,116,235,0,75,112,336,47,23,57,75,307,1991
Sam Perkins,73,2504,368,744,18,229,279,538,108,64,78,103,983,1991
Tim Perry,46,587,75,144,0,43,70,126,27,23,43,32,193,1991
Chuck Person,80,2566,620,1231,69,165,229,417,238,56,17,184,1474,1991
Jim Petersen,62,834,114,236,1,50,76,200,27,13,41,48,279,1991
Dražen Petrović*,61,1015,243,493,23,114,137,110,86,43,1,81,623,1991
Ricky Pierce,78,2167,561,1156,46,430,471,191,168,60,13,147,1598,1991
Ed Pinckney,70,1165,131,243,0,104,116,341,45,61,43,45,366,1991
Scottie Pippen*,82,3014,600,1153,21,240,340,595,511,193,93,232,1461,1991
Olden Polynice,79,2092,316,564,0,146,252,553,42,43,32,88,778,1991
Dave Popson,19,64,13,32,0,9,10,14,2,1,2,6,35,1991
Terry Porter,81,2665,486,944,130,279,339,282,649,158,12,189,1381,1991
Paul Pressey,70,1683,201,426,16,110,133,176,271,63,32,130,528,1991
Mark Price,16,571,97,195,18,59,62,45,166,42,2,56,271,1991
Kevin Pritchard,62,773,88,229,5,62,77,65,81,30,8,59,243,1991
Brian Quinnett,68,1011,139,303,15,26,36,145,53,22,13,52,319,1991
Kurt Rambis,62,900,83,167,0,60,85,266,64,25,11,45,226,1991
Blair Rasmussen,70,2325,405,885,2,63,93,678,70,52,132,81,875,1991
J.R. Reid,80,2467,360,773,0,182,259,502,89,87,47,153,902,1991
Robert Reid,3,37,2,14,0,0,0,9,4,1,3,3,4,1991
Jerry Reynolds,80,1843,344,793,10,336,419,299,203,95,56,172,1034,1991
Glen Rice,77,2646,550,1193,71,171,209,381,189,101,26,166,1342,1991
Pooh Richardson,82,3154,635,1350,42,89,165,286,734,131,13,174,1401,1991
Mitch Richmond*,77,3027,703,1424,40,394,465,452,238,126,34,230,1840,1991
Doc Rivers,79,2586,444,1020,88,221,262,253,340,148,47,125,1197,1991
Fred Roberts,82,2114,357,670,4,170,209,281,135,63,29,135,888,1991
Alvin Robertson,81,2598,438,904,23,199,263,459,444,246,16,212,1098,1991
