measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,22,All Ages,503,Endocarditis,1,Number,1990,28754.395697787342,35698.16583149429,24370.416523389336
1,Deaths,1,Global,3,Both,22,All Ages,504,Non-rheumatic valvular heart disease,1,Number,1990,77932.18609485551,83257.6263038129,70797.69614914397
1,Deaths,1,Global,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,1,Number,1990,2520219.2480312227,2719387.907031938,2118058.8495852007
1,Deaths,1,Global,3,Both,22,All Ages,510,Pneumoconiosis,1,Number,1990,23720.125993480164,27666.730850660253,18391.995674879625
1,Deaths,1,Global,3,Both,22,All Ages,613,Hemoglobinopathies and hemolytic anemias,1,Number,1990,81396.56960730047,101030.13604753198,64615.439812531695
1,Deaths,1,Global,3,Both,22,All Ages,619,"Endocrine, metabolic, blood, and immune disorders",1,Number,1990,77687.33407350667,90125.31344732846,65203.689994810215
1,Deaths,1,Global,3,Both,22,All Ages,627,Rheumatoid arthritis,1,Number,1990,22191.716730265718,27197.540951953953,17533.623946356263
1,Deaths,1,Global,3,Both,22,All Ages,639,Other musculoskeletal disorders,1,Number,1990,32222.22733345402,39563.12292815807,25526.37305042527
1,Deaths,1,Global,3,Both,22,All Ages,641,Congenital birth defects,1,Number,1990,911942.8130174027,1341146.8262848286,627912.4339059587
1,Deaths,1,Global,3,Both,22,All Ages,945,Conflict and terrorism,1,Number,1990,116364.08172587858,127161.0227277166,107642.67585539525
1,Deaths,1,Global,3,Both,22,All Ages,958,Typhoid and paratyphoid,1,Number,1990,216225.53532445227,379199.7219667188,105181.91162974684
1,Deaths,1,Global,3,Both,22,All Ages,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,1990,50550.452523410364,80465.2415908866,28068.133548685408
1,Deaths,1,Global,3,Both,22,All Ages,665,Decubitus ulcer,1,Number,1990,12603.163924878747,17969.619672486842,8975.744746550079
1,Deaths,1,Global,3,Both,22,All Ages,668,Other skin and subcutaneous diseases,1,Number,1990,2188.7906881284425,3504.5085315216966,1705.8927809878296
1,Deaths,1,Global,3,Both,22,All Ages,686,Sudden infant death syndrome,1,Number,1990,55994.96045624074,125639.23880124079,22421.575902603014
1,Deaths,1,Global,3,Both,22,All Ages,689,Road injuries,1,Number,1990,1113411.262385784,1209610.6316709772,1047006.9394115037
1,Deaths,1,Global,3,Both,22,All Ages,980,Bacterial skin diseases,1,Number,1990,34489.59212350786,42605.690528054976,25156.222744353512
1,Deaths,1,Global,3,Both,22,All Ages,992,Upper digestive system diseases,1,Number,1990,310484.27534264704,334154.31321989594,290021.1539295898
1,Deaths,1,Global,3,Both,22,All Ages,1022,Other malignant neoplasms,1,Number,1990,238783.45692466458,255398.80094317862,215826.1592158139
1,Deaths,1,Global,3,Both,22,All Ages,345,Malaria,1,Number,1990,840552.8681484112,1356074.328927579,463324.608310854
1,Deaths,1,Global,3,Both,22,All Ages,346,Chagas disease,1,Number,1990,11235.947748448878,13702.35920563291,4555.269099780001
1,Deaths,1,Global,3,Both,22,All Ages,347,Leishmaniasis,1,Number,1990,58362.55257271146,191558.76773351524,19365.74162744596
1,Deaths,1,Global,3,Both,22,All Ages,350,African trypanosomiasis,1,Number,1990,16998.274150305715,27709.168217194216,8262.248654070881
1,Deaths,1,Global,3,Both,22,All Ages,351,Schistosomiasis,1,Number,1990,17093.297488482105,19251.36321047326,15204.116444840593
1,Deaths,1,Global,3,Both,22,All Ages,352,Cysticercosis,1,Number,1990,1315.0808643598125,1732.3950337664905,924.5025929303202
1,Deaths,1,Global,3,Both,22,All Ages,353,Cystic echinococcosis,1,Number,1990,2838.8555937497536,3497.0674840719057,2217.939902661277
1,Deaths,1,Global,3,Both,22,All Ages,357,Dengue,1,Number,1990,28151.33774103323,43024.300419278814,6384.394343382154
